frame_number,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
0,[997.0108642578125],[123.48087310791016],[759.6445617675781],[116.91734313964844],[1831.758056640625],[682.4259643554688],[2126.7802734375],[766.322998046875],[716.4561767578125],[216.42736053466797],[1925.8134155273438],[177.5260772705078],[32.44052381068468],[390.862060546875],[1931.3675537109375],[741.5773620605469],[1658.1713256835938],[801.1690063476562],[1895.713134765625],[159.94365692138672],,,,,,
1,[760.2487182617188],[121.63398361206055],[715.3661804199219],[219.38768768310547],[1921.5128784179688],[174.41879272460938],[1842.5307006835938],[684.4479064941406],[1926.5942993164062],[752.4205017089844],[973.7643127441406],[115.65711975097656],[1667.6702270507812],[808.4185180664062],[1758.7742309570312],[806.3533935546875],[1895.6554565429688],[167.42413330078125],,,,,,,,
2,[762.6078796386719],[117.4971809387207],[1009.8021240234375],[127.75732803344727],[720.8610534667969],[214.4917755126953],[1921.8026733398438],[176.74810028076172],[37.83975064754486],[390.54510498046875],[1829.9073486328125],[672.9071350097656],[1934.3153076171875],[739.7497253417969],[1659.42138671875],[797.8396606445312],[1897.5111694335938],[164.59640502929688],,,,,,,,
3,[760.4325561523438],[119.3117790222168],[978.3867797851562],[114.10965347290039],[720.2678527832031],[218.737548828125],[1920.0533447265625],[175.73209381103516],[38.44798581302166],[390.71156311035156],[1828.9153442382812],[666.3882751464844],[1927.9860229492188],[736.2748107910156],[1656.0901489257812],[794.9069519042969],[1895.4107666015625],[169.97905731201172],,,,,,,,
4,[994.5067749023438],[120.88590621948242],[756.2529907226562],[117.2510986328125],[1825.2601318359375],[674.7603149414062],[716.8886108398438],[216.15576171875],[1920.7955322265625],[174.65968322753906],[35.902622640132904],[389.4651184082031],[1911.552978515625],[727.8819274902344],[1648.6591796875],[790.6337280273438],[1896.2438354492188],[168.7787628173828],,,,,,,,
5,[996.4810791015625],[127.70407485961914],[755.9869079589844],[120.39884567260742],[2119.542236328125],[768.4465637207031],[2046.9384155273438],[820.4406433105469],[1925.8807983398438],[654.3757934570312],[1820.226806640625],[764.1040344238281],[716.5719909667969],[220.20178985595703],[37.111628107726574],[390.16441345214844],[1976.9044189453125],[622.9125061035156],[1892.373046875],[169.84425354003906],,,,,,
6,[757.5909423828125],[120.6319351196289],[1887.7867431640625],[166.81214141845703],[1704.9320068359375],[674.3296203613281],[2128.6807861328125],[758.1205749511719],[711.0234069824219],[213.5641860961914],[1550.5166625976562],[316.2658233642578],[34.6286538913846],[391.55859375],[950.4989013671875],[105.7020263671875],[1753.9026489257812],[308.5330581665039],[1863.3377685546875],[628.4963989257812],,,,,,
7,[1620.5259399414062],[397.7501678466797],[723.8865661621094],[93.8215446472168],[1674.5237426757812],[723.0638427734375],[2129.732421875],[758.0567321777344],[1895.9690551757812],[166.4477767944336],[35.174131251871586],[392.1987609863281],[936.3359069824219],[85.48430252075195],[1447.4638061523438],[484.43975830078125],[1816.4070434570312],[703.5812072753906],[1663.3176879882812],[437.26145935058594],,,,,,
8,[747.5573120117188],[112.50824737548828],[1779.507568359375],[703.1100463867188],[988.883544921875],[119.78408813476562],[2128.8427734375],[756.5629577636719],[706.9534301757812],[212.6679229736328],[1900.6303100585938],[284.3136215209961],[1771.0454711914062],[305.48814392089844],[38.36686837673187],[390.5056915283203],[1902.4737548828125],[152.65967559814453],[1975.5707397460938],[315.1413116455078],,,,,,
9,[743.0160217285156],[117.20446014404297],[1745.9716186523438],[699.7957458496094],[2129.5137939453125],[760.3046264648438],[709.1305541992188],[215.02738189697266],[1825.6246948242188],[320.2094421386719],[1716.2294311523438],[357.29058837890625],[42.68187153339386],[390.1878204345703],[947.1332397460938],[103.10406875610352],[1890.188720703125],[370.5871276855469],[1495.5540161132812],[592.5394897460938],[1934.4191284179688],[667.7348022460938],[1899.3095092773438],[173.7023468017578],,
10,[1593.8521728515625],[370.3282775878906],[747.7728881835938],[111.55932998657227],[1653.8598022460938],[705.5222778320312],[2130.29931640625],[762.2926025390625],[707.82958984375],[209.18167114257812],[1907.34033203125],[169.2486801147461],[35.06749891489744],[389.1189880371094],[950.7471008300781],[100.31715393066406],[1437.4998779296875],[418.72434997558594],[1776.06689453125],[679.0299987792969],[1638.2470703125],[414.1217346191406],,,,
11,[744.1559753417969],[111.09677124023438],[1799.1881713867188],[734.6692504882812],[991.7810668945312],[117.02983093261719],[2123.97021484375],[757.2406921386719],[707.201904296875],[209.41039276123047],[1851.8909301757812],[342.64561462402344],[34.34732577204704],[387.87391662597656],[945.1539001464844],[94.71697044372559],[1842.9817504882812],[372.88658142089844],[2028.377197265625],[397.6387176513672],[1901.3875122070312],[174.8091583251953],,,,
12,[745.375],[113.3674430847168],[1731.0968627929688],[702.1697082519531],[2130.5867919921875],[761.5038757324219],[705.9628295898438],[211.79763793945312],[1854.5540771484375],[296.9276351928711],[1734.3605346679688],[294.87574768066406],[33.509667217731476],[385.26654052734375],[1904.8692016601562],[162.84375762939453],[970.0116271972656],[112.86981582641602],[1927.5513305664062],[368.5134582519531],,,,,,
13,[1664.7769165039062],[204.16284942626953],[755.7900390625],[111.53324127197266],[1686.6743774414062],[683.9320373535156],[2131.820556640625],[764.8304138183594],[706.5497741699219],[209.1939239501953],[32.85298693180084],[385.2118835449219],[1749.7125854492188],[250.07764434814453],[1914.3643188476562],[164.39881134033203],[1888.2072143554688],[592.0697021484375],[968.2852478027344],[105.93203735351562],,,,,,
14,[747.93115234375],[116.96206665039062],[1762.9566040039062],[705.1028137207031],[2135.48291015625],[766.09912109375],[712.6495971679688],[217.32940673828125],[29.99981816112995],[384.3617248535156],[2001.4598388671875],[654.9541320800781],[971.3533630371094],[112.3686408996582],[2043.1009521484375],[314.6884307861328],[1908.8223266601562],[165.77263259887695],,,,,,,,
15,[744.3242492675781],[111.31820678710938],[1757.6550903320312],[688.9417724609375],[2134.7276611328125],[766.8638916015625],[706.98583984375],[210.58155059814453],[31.539724320173264],[383.7775573730469],[1913.6257934570312],[224.6314697265625],[1974.267578125],[646.7638549804688],[963.3740844726562],[105.736328125],[1882.016357421875],[171.00645446777344],,,,,,,,
16,[1773.1591796875],[137.88605880737305],[745.2325134277344],[107.86254119873047],[1898.4945678710938],[171.3683624267578],[1725.0016479492188],[679.7509765625],[963.2153625488281],[96.39295959472656],[2133.725341796875],[764.9650268554688],[706.9359436035156],[207.5232162475586],[28.972013145685196],[384.0068817138672],[1790.500732421875],[145.68318557739258],[1942.3168334960938],[585.1205444335938],,,,,,
