ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0,"(1313.3589477539062, 64.63430976867676)","(2252.1822509765625, 171.5610008239746)","(85.49148368835449, 586.2342529296875)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
1,"(1313.4457397460938, 64.61988067626953)","(2252.1920166015625, 171.4025993347168)","(85.58832740783691, 586.2303771972656)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
2,"(1313.4895629882812, 64.75132942199707)","(2252.2769775390625, 171.03354263305664)","(85.43836975097656, 586.004638671875)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
3,"(1313.2728881835938, 64.22294616699219)","(2251.743408203125, 171.49535369873047)","(85.44985961914062, 585.7068786621094)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
4,"(1313.197998046875, 64.60770988464355)","(2251.562744140625, 171.84728622436523)","(85.44530868530273, 586.0680541992188)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
5,"(1313.2359008789062, 65.50250625610352)","(2252.0260009765625, 171.5384979248047)","(85.63614654541016, 585.9596557617188)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
6,"(1314.341796875, 65.96930313110352)","(2251.2110595703125, 172.07105255126953)","(85.52546119689941, 586.6684875488281)","(1293.8861083984375, 72.59654808044434)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
7,"(1314.1727905273438, 66.04144477844238)","(2251.1781005859375, 172.04744720458984)","(85.43092155456543, 586.9005126953125)","(1294.0346069335938, 72.60244178771973)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
8,"(1313.8063354492188, 66.48702812194824)","(2251.428466796875, 172.59864044189453)","(85.72075843811035, 586.5670776367188)","(1293.6807861328125, 73.38444137573242)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
9,"(1314.3789672851562, 65.61450576782227)","(2251.2022705078125, 172.38025665283203)","(85.85976982116699, 586.3899230957031)","(1294.5875854492188, 71.92374992370605)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
10,"(1314.816650390625, 65.14607048034668)","(2251.8675537109375, 171.89407348632812)","(85.7719955444336, 586.3714294433594)","(1296.292236328125, 70.5459976196289)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
11,"(1314.9260864257812, 64.9681339263916)","(2251.8814697265625, 172.00767517089844)","(85.99360275268555, 586.6490783691406)","(1296.2842407226562, 70.42267036437988)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
12,"(1315.85888671875, 64.75372123718262)","(2251.94091796875, 172.1067123413086)","(85.4942626953125, 586.0468139648438)","(1298.561767578125, 69.01482582092285)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
13,"(1315.4117431640625, 64.27128791809082)","(2251.544677734375, 172.44766998291016)","(85.60816955566406, 586.6078186035156)","(1297.9649658203125, 68.5806827545166)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
14,"(1315.391845703125, 64.4629020690918)","(2251.7132568359375, 172.01281356811523)","(86.0280704498291, 586.5572814941406)","(1298.2467651367188, 68.80286407470703)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
15,"(1315.4737548828125, 64.31079864501953)","(2251.727294921875, 172.07936096191406)","(85.98100280761719, 586.6621398925781)","(1299.0250244140625, 68.27976608276367)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
16,"(1315.709716796875, 65.25200462341309)","(2251.6666259765625, 172.2127456665039)","(85.7709846496582, 586.5543212890625)","(1299.2566528320312, 68.87646102905273)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
17,"(1314.9717407226562, 65.86698150634766)","(2251.6072998046875, 172.21800994873047)","(85.61589813232422, 587.3542785644531)","(1298.134765625, 70.33412742614746)","(1344.5852661132812, 144.19063568115234)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
18,"(1313.916748046875, 66.41165733337402)","(2252.02294921875, 171.99364471435547)","(86.10505104064941, 586.9511413574219)","(1296.157958984375, 72.20229721069336)","(1344.0779418945312, 143.36938858032227)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
