ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
10000,"(600.0494079589844, 239.36823272705078)","(577.6147155761719, 805.6508483886719)","(876.11181640625, 1036.9437866210938)","(862.4939575195312, 995.1058959960938)","(785.5939331054688, 957.5813598632812)","(993.89453125, 941.0979309082031)","(570.3942260742188, 290.42344665527344)","(807.3500061035156, 926.4576416015625)","(555.6729736328125, 941.5057067871094)","(558.60888671875, 241.16380310058594)","(765.0908813476562, 829.4043579101562)","(575.7278442382812, 859.790283203125)","(476.6915588378906, 941.936767578125)","(625.9034118652344, 811.5406188964844)"
0,"(511.74761962890625, 426.7235107421875)","(1553.8203735351562, 599.2113952636719)","(1243.4072265625, 358.81541442871094)","(1575.5948486328125, 197.1675796508789)","(850.253662109375, 695.8442993164062)","(684.2080078125, 369.7843322753906)","(661.8208312988281, 434.1309509277344)","(901.109619140625, 630.7997436523438)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
1,"(1553.6079711914062, 598.443359375)","(1247.5621948242188, 356.56764221191406)","(1572.7568969726562, 196.68836212158203)","(848.1082458496094, 698.09716796875)","(683.6737060546875, 370.31396484375)","(661.3288269042969, 435.1836395263672)","(510.65087890625, 423.5888366699219)","(900.9923706054688, 631.5234375)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
2,"(1554.8619384765625, 598.6545715332031)","(1248.8992309570312, 356.53953552246094)","(737.2864685058594, 413.38609313964844)","(1578.2014770507812, 193.90731048583984)","(855.6034545898438, 692.199951171875)","(682.5508117675781, 371.32322692871094)","(661.8158264160156, 435.4629211425781)","(509.0826416015625, 426.3981475830078)","(900.8955078125, 629.4568481445312)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
3,"(1555.3033447265625, 598.6936950683594)","(1246.154541015625, 357.6726989746094)","(1582.2118530273438, 192.02979278564453)","(857.8104553222656, 689.8735046386719)","(682.4586486816406, 370.9907684326172)","(662.2400512695312, 436.0079345703125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
4,"(1555.0255737304688, 598.6668701171875)","(1244.282470703125, 358.1461639404297)","(736.7835693359375, 414.6186828613281)","(1586.2186279296875, 187.28368377685547)","(853.0947875976562, 693.7027282714844)","(682.0043334960938, 372.2678680419922)","(661.15478515625, 436.7857971191406)","(507.89166259765625, 427.0487823486328)","(900.1066589355469, 629.6759338378906)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
5,"(1552.838623046875, 598.7263488769531)","(1245.2826538085938, 357.7840270996094)","(735.602294921875, 413.9770050048828)","(1583.454345703125, 186.78701782226562)","(846.2993774414062, 698.9540405273438)","(682.1788024902344, 370.27394104003906)","(658.9343872070312, 436.9948425292969)","(898.6968078613281, 630.5940246582031)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
6,"(1551.3819580078125, 597.6654663085938)","(1246.9953002929688, 357.9117889404297)","(554.7698059082031, 398.8202209472656)","(1553.690673828125, 214.76602172851562)","(853.3995666503906, 693.3757934570312)","(680.8543395996094, 370.1147918701172)","(657.6332397460938, 437.4363708496094)","(899.0750427246094, 630.2459106445312)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
7,"(1551.2860107421875, 597.7012634277344)","(1248.3931884765625, 357.5478515625)","(1561.7512817382812, 210.34618377685547)","(157.56360626220703, 471.6349792480469)","(856.6871948242188, 690.5066833496094)","(679.8110046386719, 370.7307891845703)","(656.8600769042969, 436.75909423828125)","(899.0853881835938, 630.3073425292969)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
8,"(1551.0739135742188, 598.3597412109375)","(1249.689208984375, 356.72674560546875)","(550.9642944335938, 397.8905792236328)","(1560.1401977539062, 211.510498046875)","(851.3897399902344, 695.6285095214844)","(678.6452941894531, 370.0300750732422)","(656.7732238769531, 437.4910583496094)","(898.7836608886719, 629.6955871582031)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
9,"(1551.2578735351562, 598.1982421875)","(1250.42919921875, 356.13096618652344)","(549.6105651855469, 398.15550231933594)","(1560.8739013671875, 209.79214477539062)","(847.6181030273438, 698.378662109375)","(677.9740905761719, 369.2152099609375)","(655.4699096679688, 436.4021911621094)","(898.0283508300781, 630.1449890136719)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
