 0,"[571.9937133789062, 410.7603302001953]","[602.1532592773438, 257.57491302490234]","[584.2781982421875, 831.4045104980469]","[801.4198608398438, 972.7262573242188]","[687.9817810058594, 885.359619140625]","[938.9077453613281, 928.5932922363281]","[521.4787292480469, 976.0962219238281]","[573.1137390136719, 308.19093322753906]","[696.2345886230469, 840.1239013671875]","[582.3958129882812, 970.6517028808594]","[560.197509765625, 257.41810607910156]","[686.8106689453125, 774.8746032714844]","[585.9543762207031, 885.0596313476562]","[627.6179809570312, 835.3750915527344]"
1,"[571.5648803710938, 411.8135528564453]","[601.8451538085938, 258.8210678100586]","[584.5353698730469, 831.0738830566406]","[802.5108947753906, 972.3143310546875]","[688.7176818847656, 885.1457824707031]","[939.5270080566406, 928.0693054199219]","[521.6294708251953, 975.8707885742188]","[572.8062438964844, 310.0263214111328]","[696.7451477050781, 840.3252258300781]","[582.5787658691406, 971.1226196289062]","[559.5977172851562, 258.71839141845703]","[687.2552795410156, 774.5867004394531]","[586.4859924316406, 884.7066650390625]","[627.8052368164062, 834.8718566894531]"
2,"[572.0652160644531, 412.69520568847656]","[600.9355163574219, 259.54808807373047]","[584.6159057617188, 830.869384765625]","[803.2630920410156, 972.8267517089844]","[689.4030151367188, 884.1211547851562]","[939.9000549316406, 928.4679260253906]","[521.5507049560547, 975.9584655761719]","[572.8439331054688, 311.3879089355469]","[695.8397216796875, 839.2877807617188]","[582.5952453613281, 971.6152648925781]","[558.8882141113281, 260.37854766845703]","[687.9740600585938, 774.2961120605469]","[585.996826171875, 885.1178894042969]","[628.0122680664062, 834.5377807617188]"
3,"[573.1370544433594, 413.44883728027344]","[600.1346740722656, 260.07677459716797]","[584.8193359375, 830.8615112304688]","[803.447021484375, 971.9886779785156]","[689.9184875488281, 884.4489135742188]","[940.6236877441406, 928.443603515625]","[521.8322601318359, 975.9624633789062]","[572.4537658691406, 312.5845184326172]","[696.046630859375, 838.987548828125]","[582.8055419921875, 971.4114685058594]","[558.8113403320312, 261.7428894042969]","[688.6719360351562, 774.2020874023438]","[586.3044128417969, 884.9522094726562]","[628.1917419433594, 834.6488037109375]"
4,"[573.9178771972656, 414.1205139160156]","[599.9959716796875, 260.57275390625]","[585.1050720214844, 831.0863037109375]","[803.5997314453125, 971.984130859375]","[690.3298645019531, 884.4521179199219]","[940.8402099609375, 928.0928344726562]","[521.806884765625, 976.1081237792969]","[572.3698425292969, 313.3016357421875]","[696.8720092773438, 838.8323059082031]","[582.8135986328125, 971.4907836914062]","[558.9717102050781, 262.59630584716797]","[689.5542907714844, 774.2659912109375]","[586.0202941894531, 885.2098388671875]","[628.5018920898438, 834.7667236328125]"
5,"[573.5257263183594, 414.95066833496094]","[599.2119750976562, 261.7757339477539]","[585.040771484375, 831.1580505371094]","[803.7842712402344, 972.4562377929688]","[690.54345703125, 884.5650024414062]","[940.7474060058594, 928.5077209472656]","[522.0474853515625, 976.1683349609375]","[571.874755859375, 313.7197265625]","[697.0366821289062, 838.6934204101562]","[582.9954528808594, 971.6440734863281]","[558.2068786621094, 263.55479431152344]","[690.2303466796875, 774.50537109375]","[585.8745727539062, 885.2218933105469]","[628.5662536621094, 834.6202392578125]"
6,"[572.8889465332031, 414.23069763183594]","[598.2393798828125, 262.41859436035156]","[584.884521484375, 830.5674133300781]","[804.3987731933594, 971.9638977050781]","[691.2841186523438, 884.3805847167969]","[940.9711608886719, 927.9547119140625]","[521.7388458251953, 976.682861328125]","[571.1582946777344, 313.7137145996094]","[697.7425231933594, 838.6336975097656]","[583.2059020996094, 971.191162109375]","[557.6026000976562, 263.8817596435547]","[690.6354064941406, 774.0661315917969]","[586.2887268066406, 885.2025756835938]","[628.4881591796875, 834.3472595214844]"
7,"[573.053466796875, 414.43943786621094]","[597.8159790039062, 262.6990737915039]","[585.0627136230469, 830.7270202636719]","[804.6463623046875, 971.8470153808594]","[691.54638671875, 884.1663208007812]","[941.1574401855469, 928.0212097167969]","[521.8473205566406, 976.5921020507812]","[570.9584655761719, 314.13702392578125]","[697.8561706542969, 838.5973510742188]","[583.2987670898438, 971.0833740234375]","[556.9516906738281, 264.2718048095703]","[691.0436401367188, 774.1118469238281]","[586.3988037109375, 885.3027038574219]","[628.5427551269531, 834.38330078125]"
8,"[572.5379028320312, 414.3760528564453]","[597.5154113769531, 262.8266372680664]","[585.8547058105469, 830.7893371582031]","[804.961181640625, 971.9271545410156]","[691.7956848144531, 883.9805908203125]","[941.6216430664062, 928.3044128417969]","[521.7869720458984, 976.7791137695312]","[570.5575561523438, 314.5203094482422]","[698.1051330566406, 838.7738647460938]","[583.4397277832031, 971.3778381347656]","[556.2836608886719, 264.5531311035156]","[691.5042724609375, 774.3738708496094]","[586.6489562988281, 885.3823852539062]","[628.9365844726562, 834.5621337890625]"
9,"[572.3848571777344, 414.3361358642578]","[597.3669738769531, 262.6277160644531]","[586.4115295410156, 830.7257385253906]","[805.0088500976562, 971.7693481445312]","[691.8536376953125, 884.2630920410156]","[941.4846496582031, 929.3346252441406]","[522.3142242431641, 977.0035095214844]","[570.3155212402344, 313.9475860595703]","[698.1995239257812, 838.8008728027344]","[583.5685729980469, 971.930908203125]","[556.0679016113281, 264.3050842285156]","[691.5957641601562, 774.5227966308594]","[587.2286682128906, 885.1902465820312]","[629.0211181640625, 834.4975280761719]"
10,"[571.2727966308594, 413.71083068847656]","[597.2152404785156, 262.1771926879883]","[586.5248413085938, 831.0332641601562]","[805.2682495117188, 971.1797790527344]","[692.6349182128906, 884.7218933105469]","[941.617919921875, 929.4443969726562]","[522.5414886474609, 977.0353393554688]","[570.1604309082031, 313.91461181640625]","[698.2254638671875, 838.5452880859375]","[584.2142028808594, 972.2778625488281]","[555.8387756347656, 263.33370208740234]","[691.650146484375, 774.3794250488281]","[587.0227661132812, 885.06884765625]","[629.3577880859375, 833.8878784179688]"
11,"[571.7541809082031, 413.42388916015625]","[597.0916442871094, 261.92932891845703]","[586.4440307617188, 831.138671875]","[805.1583862304688, 971.3037414550781]","[692.7725524902344, 884.96875]","[941.5976257324219, 930.0286560058594]","[522.2450714111328, 977.2542419433594]","[570.2625122070312, 313.56732177734375]","[698.6467590332031, 839.3432312011719]","[584.3148803710938, 972.4583740234375]","[555.8466796875, 263.2530517578125]","[691.8231201171875, 774.6073608398438]","[587.4207763671875, 885.2462158203125]","[629.3489685058594, 834.2052307128906]"
12,"[572.9718627929688, 413.53248596191406]","[597.6125793457031, 261.1360321044922]","[586.7186889648438, 831.3183898925781]","[805.0859375, 971.685791015625]","[692.1187744140625, 885.8076477050781]","[942.0163879394531, 929.8342590332031]","[522.6536102294922, 977.2789916992188]","[570.3302917480469, 312.75250244140625]","[698.277587890625, 840.00439453125]","[584.529052734375, 972.632568359375]","[555.7264099121094, 262.44803619384766]","[691.7589416503906, 775.0973510742188]","[587.6650695800781, 885.50634765625]","[629.2560119628906, 834.4900207519531]"
